days,content
150,"The display and camera quality is superb, and the feel is comfortable , looks attractive.
I found it as expected,I like it ."
150,After one day hang my device many times hanging problem pls solve this issue
150,Superb
150,Good performance
150,"Good phone this price range 
Slim handy performance good"
150,Very nice...but the e kart has not delivered the mobile for 3days .....I went directly to the  E kart hub to get the mobile...is this the way for delivery... really Fed up with the exchange mobile also
150,Other is all good hello moto
150,Good PHONE
150,Best
150,Very slow speed mobile
150,According
150,Motorola edge 60fusion good 👍 fukel. 5****
150,Excellent features..
150,During call time mobile temperature increased higher than expected.
150,"Low network aria not working good data
As compared to other bards"
150,"Good camera 5/5
Good battery 5/5
Very good display 5/5"
150,Nice quality phone at an affordable price.
150,"All is good....
Value for money phone..."
150,Speaker problem
150,Good
150,Beauty of Moto - Hand Carry Aswasome
150,Excellent mobile with brilliant specifications
150,For me the display is little bit large....touch is very smooth..... gallery app is not provided in this...... overall love it
150,To much heating
150,Motorola edge 60 fusion smartphone nice great thanks Moto
150,Okay 👍
150,Battery drain problem Motorola third class mobile 🤢🤢
150,Average
150,But it's good
150,"It has heating issue.
Camera decent."
150,very good
150,Best product in this price
150,Thanks flipkart
150,Nice
150,Very nice 👍 motorola mobile best
150,Sound not God
150,Good phone but battery not good
150,Nice cemara quality 👌👌
150,"Good 👍👍 
Super"
150,Best phone in this Range
150,Good
150,Not promise Time
150,good product but little bit hanging
150,My dream mobile I am so happy 🤩🤩🤩
150,Best in this price range
150,very nice
150,"Good night camera. Pic colours over boosted, some might like it catchy. Nice curved display.  Light weight. The battery is sufficient for a day's use. Charging speed is awesome. Clean pure android sta..."
150,Cool
150,Facing internet issue..showing 5g signal full but internet not working.. settings changed but facing same issue several times
150,Sound speakers is not working properly the ￼ scratch sound is on video and song
150,Gud
150,Good
150,Very nice phone
150,Good mobile phone
150,Screen not working properly
150,Very good
150,Worst phone
150,Nise bat luk
150,All good
150,Good wow
150,Nice mobile
150,Never buy this phone because this phone auto restart many times in a single day.very cheap phone
150,Good pro
150,"Netwark issu  after 1manth  not by those phone 
Network and download very slow this mobile 
Iam suggest by vivo t4r best fore vivo mobile"
150,Over all good
150,Look like to be premium set 😲👌
150,Very good phone in this price range
150,Nice phone
150,Good Product
150,Lovely Phone
150,Value for money.
150,Good product
150,Good
150,Very nice camera and look
150,This is one of the best phones in the category of mid range.
150,Front and back camera both are nice very slim and light weight in-hand feel is very premium colour is super display is top notch performance is also good as price but only having very small issue like...
150,"Very good performance 
Camera like wow 
Go for lt 👍"
150,Worthy for mon
150,Very good mobile
150,Good
150,Overall very good 👍👍
150,Camera quality is worst than samsung mobile camera of this price
150,Overall good mobile Worth it
150,Good product
150,I amazing product i really like it
150,Good phone at 19500
150,Best in the segment. Best performance ever. Happy with purchase.
150,speaker quality is average also camera
150,"After a long time came out of samsung environment and brought Motorola. Amazed by its look, display Ai, user friendly. Just love it."
150,Good phone for camera
150,Motrola best in midrange smartphone
150,Everything is good
150,Perfect and phone is amazing camera 📸 quality of this price .
150,"Mobile looks very primium and cool 😍
Image Quality of the camera is great performance is good go for it 👍"
150,Super
150,Good performance
150,Awsome phone moto g
150,On 2nd day black bubble come on screen.
150,"Best phone under the budget segment with best multi media, camera, daily uses,haptics and many more. It will be best for the people who does multiple task. I will advice to consider this phone"
150,Very good
150,Nice 👍
150,Excellent
150,Very good phn
150,"excellent phone in this price, 
wonderful and amazing product."
150,Very good mobile
150,"Ok , superb"
150,"Over all ok, Balanced or decent mobile phone under 20k"
150,This phone is very good in this price range. Battery of this phone is awesome and display also
150,Super..
150,Best phone
150,I will love it
150,Excellent
150,"Switched to moto from iphone. I'm having a great time with this phone and also with the Android system. 
Great experience and hands down the best decision made l. Moto is something else with this 60 f..."
150,Best phone all rounder ❤️
150,Superb
150,Really good mobile
150,This phone is automatically off
150,Camera quality poor
150,Good prdu
150,Value for money 💵 awesome phone
150,Over all good phone
150,Not good phine
150,Nice phon
150,"The back portion made of leather, got scratched within 1 week of use. Build quality of vegan leather is not up to the mark, Moto Should provide back cover at a certain price with handset."
150,All is well
150,Excellent
150,"Mobile gets heat 
Camera is not good as expected"
150,Super
150,"Charging problem with in 10 days 
Not working good 
Waist of money"
150,Best mobile
150,One of the best phone 📱 I have used in my life...totally flagship super killer...from sam kashmir...love you moto...💝📱💝
150,"Only lagging, hanging and heating problem, don't buy"
150,Super
150,Nice phone in this range
150,good Smart phone under  23k segment. good battery life good camera good display. Over all good design and slim also lite weight. Give 4 star out of 5
150,"Within 12 days the display got a pink line, so don't buy this phone. Worst experience."
150,Nice cemara and bettery backup
150,Best in 20k budget light weight looking super in hand recommended to buy it
150,Nice product
150,Value for money
150,thanks
150,"Not very good and very bad 
it is a average mobile phone.
Camara quality not better picture pixel.
 Battery percent high drop multiple time but better talk inbox high charger available so better charg..."
150,Very good phone in this price range 😀
150,Nice product
150,At this price range best phone.
150,"Boleeeee tooooo ......
Best phone 
Charging 1 number 
Camera result 1 number 
Feature 1 number.. 

Heating the phone in chargeing"
150,All good device
150,Good
150,Amaizing
150,Amazing phone amazing display sound fast charging great.Great camera and picture quality.
150,Very nic
150,Just a beast mobile.
150,Amazing phone with beautiful camera 😍
150,Best phone go for it
150,Superb!
150,Not interested to say
150,This phone is not value for money. This phone is not performing as aspected. issues like overheating and a bad curve display which i didn't like I faced. I sent multiple complaints on refund for this ...
150,V good phone.I like it
150,Display looks faddy. Phone looks poor quality. UI needs to be good
150,Nice phone
150,Good product
150,"Good, value for"
150,Fantastic and super mobil
150,"Gorilla 🦍 glass is too good.
I dropped on tiles floor
Durability is too good"
150,Nice
150,Overall is good 👍😊
150,I am so happy to buy this product 😊
150,Overall Good
150,Its good quality this range
150,nice phone...
150,I was this product and speaker issue soun is not good worst experience
150,Camara is to good 👍
150,"Product is good ,,but flipkart service is very bad"
150,To good
150,"Everything is okay except build quality, getting scratches on frame by its own."
150,Product is very beautiful ❤️😍
150,Great all rounder phone
150,Nice phone good pic quality
150,Not purchased thi product very bad 😔😔
150,Heating problem
150,Good
150,"A selfie camera is not good but the back camera is excellent .
No hanging and heating"
150,Amaging phone
150,"The phone is good in this budget, I liked the display and camera quality, at this price. If your budget is 20k or 25k then this phone is best for you."
150,Nice
150,Good
150,Superb quality happy ☺️
150,"Camera Good 💯 📸 
Processor is fast work Good 👍💯
Battery fast charging work Good 💯
Best price thanks you Flipkart 😘"
150,All ok price is around well
150,Value for money
150,Awasome
150,Supar
150,Ok
150,Just looking like a 😲🥰
150,"I'm really happy with this Motorola phone! The performance is smooth, the display is bright and clear, and the battery life is excellent. The camera quality is also very good for this price range. Ove..."
150,Very good product
150,Good
150,All good mobile use
150,"Best phone Value for money 
In 20-23 range"
150,"Some issues like somtime app doesn't open at once and lagging also but camera is decent screen quality is best,thin and not heavy"
150,Phone camera not work.
150,All ok
150,Most wrost and third class product... Software and hardware both are third class.  Please go for samsung  A35 5g don't waste your money in motrola product
150,Great product for the pri
150,Good mobile
150,Nice
150,"Camera performance great, mobile processor working fine"
150,Good product
150,Don't buy the Motorola edge 60 fashion  phone charging fast down and heating the phone that's why not buying this phone varishth service the Motorola and Flipkart don't buy the online please
150,Awesome
150,good camera
150,"Display is best,camera is better, speaker are loud, curved display looks good but applying uv glass in every 3 month is risky and expensive."
150,Very good product ✅
150,"Overall a very good performance..
superb moto..TQ flipkart"
150,Awesome product
150,"Good mobile 
Everything is ok
Best phone"
150,Good
150,Good
150,Good
150,Nice
150,Not good
150,Super quality
150,Nice phone
150,Super
150,Nice mid range phone for moderate usage
150,Good
150,"1.Design Good
2.Single handed uses
3. Battery awesome 🔋"
150,"I am not a pro to give a phones review. but as a commoner, I can say, this one got the worst camera features. Selfies and videos are truly pathetic. The images  have poor clarity and a blurred or extr..."
150,Network issue
150,Good
150,Over all
150,"Amazing experience with new phone.

Battery last for two days with moderate use.

Video and audio quality is amazing, specially Dolby Atmos, it makes listening experience with earbuds and speaker very..."
150,"Budget segment phone 
I love Motorola phones😍"
150,Nice
150,Very nice
150,Amezing
150,Wish i never brought this phone. People are reviewing it after 2or3 days. i am posting this review after 4 months of usage. literally don't get influenced by tech youtubers. don't buy this phone
150,Video zooming quality very bad
150,very good
150,Best phone this price range an all over Market
150,Amazing phone for this price range.
150,Super good
150,Totally good. Updated OS 16
150,One of the best mobile of the yaer
150,Heating issue
150,Value for money
150,Truely satisfied by phone .valuable as per money
150,"The product is very good but Flipkart
is once again the worst. Once again in life Flipkart
has made it seem like it is annoying"
150,It's well fit for decent users.. good and smart phone. It will good choice..
150,Good phone
150,"I like this product very much, it is a good value for money, it has all the features at this price, only the camera quality is not that good. Moto just improve camera quality"
150,Good phone
150,Good finish and good looking smart phones
150,Super phone
150,"Amazing product camera quality is good but needs to improve at night time, The design is good but the curve display needs to handle with care, battery backup and processor performance excellent value ..."
150,Awesome product under budget
150,Excellent phone value for money
150,The phone is good for the price.
150,WoW Amazing 😍
150,Specker sound very wost
150,Very good 👍 pho
150,"Review after 15 days- Mind blowing camera is perfect 
Battery is awesome.
Quick charging.
Battery backup really valuable.
Best in this price segment."
150,Ok good
150,Wrost
150,Super
150,Fabulous camera 📸
150,When I'm broght this ph my ph's camera inside store smoke
150,Overall great performance 😊
150,Good 👍😊
150,very good mobile
150,Money Worth it...
150,Very good 👍
150,Very good
150,It is good product
150,Good camera quality 😍
150,Overall is good
150,Awesome product..👍
150,Awesome phone 👍🏻
150,Very good phone🫡
150,Awesome 😎 i am satisfied in this price really awesome mobile
150,It's sound outcome during call very horrible. In my thinking this is money wasteage phone
150,Very nice
150,Good mobile
150,Amazing
150,Great phone
150,Good product
150,This is not a good smartphone under 20k. Waste of money. Unexpected features. Battery discharge quickly. Camera not good. Only showoff specifications on Flipkart.
150,Nice
150,Good phone and good looks of this phone and camera quality is very good and allover this phone is very good
150,"The product is good and value for money 
1- the display is owsm
2- in hand feel is very good 
But motorola phones also have an gallery app which is lack in motorola phones"
150,"The phone is super good about all the condition , the battery gives about 75 house time.One of the best camera a saw and I the box motorola did not gave any case and glass, due third party glass can d..."
150,Not bad
150,"1.)Camera - Rear camera is the best but selfie could be better.
2.) No lag and heating issue.
3.)Battery life is decent.
4.)Sound - It supports dolby atoms but, phone vibrates too much on full volume ..."
150,A classy product!
150,"Value for money.
Excellent device"
150,I really enjoy
150,Superb
150,Good mobile in this range. But sound quality is not good.
150,Good phone
150,Very nice product in this price range
150,Nice
150,Good
150,Super under an average budget
150,Good phone by motorola in budget range
150,Superb product and superb exchange deal from Flipkart
150,One of the best ☺️
150,Bad
150,Good Product Value For Money
150,Loved it 🥰
150,Best phone 60 fusion
150,Good product
150,Nice
150,Very nice
150,Side volume and power button not good battery backup good display performance nice
150,Excellent
150,Overall a Good Phone at this price Range Go for it
150,It's ok
150,Best mobile
150,Front camera is very bad
150,Nice
150,As expected it was good one
150,"Display problem, charging problem"
150,Look is very
150,Good
150,Tnx for motorola
150,Very nice phone
150,Everything is good 👍
150,Nice 👍
150,Excellent mobile with good features
150,Nice
150,"Superb Mobile
Display was awesome😍😍"
150,Very good
150,Very Good performance
150,Wonderful 👍
150,Best phone under 20k
150,ten days use screen lining issue
150,Phone charger is not working
150,Good mobile
150,Very
150,So good
150,Like good
150,Very nice
150,I the phone very much moto is better then rearme and vivo
150,Nice mobile i liked
150,Cool
150,Good
150,Best
150,Good product 👍
150,"Overall is good performance Phone...
Slightly better..."
150,Very good
150,Nice product 👍👍👍
150,Very very nice looking mobile
150,Phone look was awesome and camera also good 😊 overall very gnice
150,Good phone 📱📱
150,Very grateful design coveres phone with good features
150,"Screen got black spot, mobile getting heated during uses and battery draining fast.
Camera is average."
150,Superb
150,Ok
150,Very Good 👍
150,Bad
150,Exel
150,Nice phone
150,Best mobile in Budget
150,Look and use premium phone
150,Very light phone and fast in use.Satisfied
150,Good performance and good mobile under 25k range
150,Over all good mobile
150,Very nice
150,Awesome
150,Good
150,Veyi good 💯🎉
150,All
150,I am not satisfied with this when the sound is coming the back case  part of the Mobile is vibrating.the sond is not also good
150,"Overall good package, camera super in this price range, display also very good"
150,Super mobile
150,Great d
150,CAMERA PIXELS VERY LOW
150,Superb one
150,Nice pr
150,Good
150,Good design and feel awosom
150,Good and stylish one
150,very nice
150,Superb phone with budget
150,"If you are looking for best camera phone in budget then you must buy it , it also has very good battery backup with fast chargeing facility, sound quality and display are also excellent (but I faced l..."
150,"The phone does not support NFC, dont trust any sponsored video for this. In sponsored video people claim that this phone has NFC, whereas in the phone NFC is not there."
150,Osm
150,Impressive phone. Best in the budget.
150,"camera is awesome 
Display and design awesome"
150,Better price 🤑better camera📷 👍👍
150,Happy with product.
150,Wonderfull camera phone and also good battery backup design is very comfortable worthy to buy in cost wise
150,Just Awesome!
150,It's nice phone
150,Good
150,Best phone I love this phone so much all functions and best this segment phone
150,All-over this product is very beautiful and very attractive product but delevary is very poor from ecart
150,Awesome
150,Not satisfied 😭
150,"Using more than 2 months and till now no issue faced. As a samsung user If I compare with Moto, both are good but Samsung gets advantage in security and android updates with some user interface easiness."
150,"The mobile is very good, the camera is also good, the battery backup is also good but there is a heat problem."
150,"This phone is for my dad, and he is very happy with all the factors mentioned above which is camera, battery, display, design and performance. He is using the phone"
150,Good 👍
150,"Amazing slim design 
Looks like a masterpiece
Thankyou Flipkart on time delivery 
Value buy product"
150,Picture quality is awesome overall Nice phone.
150,Very defective phone delivered.auto reboot every 1-2 hours and decrease volume button not working
150,It's best phone this price
150,Good
150,"Amazing quality of camera, this mobile is classic no.1"
150,Nice performance
150,This is a genuine review. Camera performance is bad and battery performance is very poor despite moderate use just data on and 10 calls attended in a day. The battery drains faster than expected. Moto...
150,beast
150,So-nice mobile
150,Very very poor mic sound quality
150,Fabulous
150,Nice
150,Waste of money display not w
150,Nice
150,👍 good
150,Tooo good 👍
150,"First impressions:

Display colors and brightness
Speaker quality
Cameras are decent
Adapter and cable are included."
150,Nice
150,Good Camera and performance is amazing
150,Best phone 🤳🤳📱📱
150,Fantastic mobile.
150,Good
150,"charger stopped working within 1 month of purchasing...
disgusting"
150,Nice👍😊 Phone
150,Good product with this range
150,Very good product
150,Very nice and camera quality are best
150,"This phone is very good and smooth,"
150,Great Display and Camera
150,Best
150,Good one
150,Nc
150,Awesome
150,Worth the money
150,Motorola 60 fusion mobile nice
150,Product is good  and value for money
180,Nyc
180,Nice
180,Side button is not working
180,Best camera 📱
180,Value for money
180,I love it ❣️
180,Very cool phone in this price segment
180,"After update android 16 the phone camera not good 
Al features not work in photo editing betery drain like 2 to 3 year old phone"
180,Nice
180,Good
180,If you want a smooth phone with no lag don't buy this
180,"This phone Network problem is very high in village 
Not for low connectivity network suitable this Phone 
Very poor 
I am very disappointed"
180,Overall gooda  all-rounder phone
180,Good
180,Nice
180,Value for money
180,"I will not recommend you this phone if you are a heavy users or a gamer,other than this you can buy it"
180,Best mobile
180,My favourite brand i so happy 😊😁
180,"Best camera phone in this price range 💖  
awesome display 
Very good design 💯 
Battery good"
180,Good Product
180,Best phone for camera user
180,"Camera 10/7

Battery 10/8

Display 10/10

Performance 10/6"
180,Value of money
180,Overall nice phone
180,"Good Product with a decent camera and a Great Battery life 👍 


Premium Display, Worth Every penny."
180,Superb as per price
180,Nice mobile
180,Nice
180,Okay good
180,"All good, nice product."
180,Best phone
180,"Stock android experience 
Slim and sleek 
Premium built quality 
Best for normal users like elder people"
180,Super camera super display battery backup ok
180,It is a good phone worth buying
180,Full Paisa wasool! All features are great camera quality and display quality specially build.
180,Best
180,Good product
180,Best features at low
180,"It is simply superbbb, nice features,"
180,Very good product
180,Nice phone
180,Full curved mobile is good looking worth it
180,This mobile is a very light weight and it operates one hand mode. I feel good.
180,Excellent phone at this range
180,Very lagy and foggy and network issue
180,Nice
180,Overall phone is good
180,Worth for the money and very smooth use with this moto UI
180,Good in this price range
180,Good
180,Nice camera
180,Not working this phone I have newly purchased this phone I am totally upset for this phone.
180,Not bad
180,Overall good
180,Good
180,Nice
180,Nice
180,"Battery capacity is very low, only get 3hr charge bad battery backup"
180,I have bought it for Camera Performance and IP 69 protection. It has a ultra wide angle camera which is great for a  small Social media influencer like me.
180,Product is good 👍
180,Good phone
180,Mobile superrr
180,In 25k segment this phone is no1...
180,Just ok
180,Good performance
180,"Product is good.value for money, sound quality is awesome 💯"
180,Nice camera.I luv it. Overall good.
180,Display and design awesome.back camera even potrait mode awesome.front camera is average while people make more hyp.
180,Good
180,Good 👍
180,Sup
180,Cool and light weight.
180,"Very good 
Nice phone"
180,Just wow
180,Camara Good
180,Camera is not satisfy
180,All performance are best 👍
180,Best phone considering the price.
180,Speaker and mic could habe been better. But overall good package
210,Fantastic phone
210,For this range i would say overall superb excellent features flagship device thanks to motorola ⭐⭐⭐⭐⭐
210,Nice
210,But it's Good phone
210,Network prob
210,Good 💯
210,Nice mobile 📲📱
210,Masterpiece
210,Verry worst product because it hangs on if any normal work tuch cann work when switch off phone then work properly .
210,Awesome
210,Motorola brand is always super n value for money✌️✌️
210,Awesome
210,Motorola is Aura...... Phone 🤳💀
210,Camera quality is very bad!
210,Great product 😃. Sleek design light weight but feels slow sometimes may be I will used to it with time
210,Nice product Luk is vari nice
210,Jst Awesome
210,"Performance slow, design good,"
210,Battery not good
210,Battery not good
210,Camera is bit okay...Pictures re good for this price point...
210,Good Quality
210,Camera and performance excellent
210,All round phone
210,Good
210,Very good product
210,"Worth it nice phone for this price range, awesome camera quality."
210,Great mob😍
210,Battery draining fa
210,Nice phone😛
210,Very good phone in this range..just go for it.
210,Best phone at this price.
210,Best product value for money
210,Fantastic 😍
210,Super hero mobile Motorola edge 60✨💝💝💝
210,Speaker sound too low
210,Average
210,Poor q
210,Camera can be more good.
210,Okok
210,Nic
210,Awesome
210,This phone is good in every
210,Excellent mobile. worth for money.
210,Good
210,Overall good phone ....go ahead without second opinion
210,Value for money
210,Not user friendly. Waste of money. Don't buy.
210,Very good product
210,Great
210,"Otg not working 
68 watt turbocharger totally fail"
210,For normal uses this phone is best in his price range but in performance this phone totally not worth for camera lover this phone is best in this price segment
210,"Superb Mobile thanks to Moto one of the best phone and also it's price.....
Only one Flipkart delivery was failure.... No transperancy
.."
210,Battery drain..phone getting hot
210,Hanging issues
210,Awesome colour and quality .🥰
210,"Waste, over heating"
210,Great performance mobile
210,For Better experience to but moto
240,Good Camera Great display. Looks premium
240,Quite slim and light weight design with Excellent selfie camera.
240,Good
240,Shandar
240,"Good looking display 👍 
Good battery 🔋 

Have few software issues but
Not snappy as expected 😑"
240,Good phone
240,Excellent and am very happy
240,Camera and display are the highlights. Phone is best for the price of 21k. Moto has really done a great job.
240,very nice product
240,Charger given with box is very slow charging the phone and and many times the caller who call me say that phone is not reachable means mobile antenna problem...😔
240,Good
240,Excellent model. Much attractive
240,"Sir, everything should have been a little better, the camera."
240,Good budget phone
240,Nice
240,Awesome phone design and camera quality is very nice worling very smooth tank you flipkart
240,"value for money , allrounder good"
240,"Excellent,   Dual camera recording amazing, I can capture video front and back at the same time. Best for Vloggers,"
240,It's ok but camera should more better
240,"Don't buy this if you are looking for photography 
Heating issues 
Battery back up is good 
Worst fingerprint sensor it won't recognizes you 
Worst worst at its best"
240,Phone is good and I like phone cameras paunchy colours. ❤️
240,Good mobile phone
240,Nice phone
240,"Wifi connectivity very bad
Bad product
Not good for purchase"
240,Calling problem
240,Charger stopped working in 2 days.
240,"After 2 months chargers not working 

Charger not good"
240,I love it .
240,Good working and good looking
240,Good looking phone and oly one think minus please improve the processor otherwise this phone is  normal usage person fine for them
240,Phone camera poor quality and observed overheating.
240,Value for money best Phone
240,Voice interrupted during calls .... Microphone is not good....after 6 month of use this phone is worse for calling .... microphone is worse... don't buy this ... Buy iQOO instead
240,Decent mobile at much better price.
240,Very nice cemra
240,Super camera
240,Gud
240,"good phone looks premium on hand, it's not for gaming but daily needs. there is slight lag on overall Ui but trust me Display at this price is unbeatable.. battery back is 2 days and doesn't require t..."
240,Excellent mobile and smart looking and smart working.
240,"Best over all , satisfied , r"
