days,content,sentiment,summary
330,"The display is excellent 👌! Camera is average , will do most of the job, don't expect stellar photos, performance is great for daily use, High graphics games might not support",Neu,"Excellent display, average camera, great performance for daily use, high graphics games might not support."
330,"The Motorola Edge 60 Fusion appears to be a well-rounded mid-range smartphone that offers a premium design, a vibrant display, solid performance, and excellent durability. It stands out with its water...",Pos,"Well-rounded mid-range smartphone with premium design, vibrant display, solid performance, and excellent durability."
330,Allover the phone is fine but the image processing is too slow like old phones,Neg,Phone is fine but image processing is too slow.
330,Superbbbbb in hand feel and super light weight,Pos,Superb in hand feel and super light weight.
330,Thank you,Pos,Thank you.
330,Fantastic Mobile Great 👍🏻,Pos,Fantastic mobile great.
330,"hello moto 🩵 
Nice product, love this , value for money",Pos,Hello moto nice product love this value for money.
330,This product is very good 👍😊😊,Pos,This product is very good.
330,"product is excellent and looking is so good, Camera Quality Also Excellent  but i request to Add A Gallery Software and also provide a Back cove Also",Pos,"Excellent product and looking, good camera, requests gallery software and back cover."
330,"Camera is best in this price segment, But I have faced network issue sometime but everything is Good...I,m so happy......also Edge detection is the best portrait mode",Pos,"Best camera in price segment, network issue sometimes, happy with edge detection and portrait mode."
330,"Nice phone
❣️",Pos,Nice phone.
330,It's so cool,Pos,It's so cool.
330,"Phn are preety look overall its value's for money 🤑 but one doubt ,Which tempered glass should I use ??",Neu,"Phone looks pretty, value for money, asks about tempered glass."
330,camera is awsm...battery performance is good...excellent phone in this price range,Pos,"Awesome camera, good battery, excellent phone in this price range."
330,Excellent mobile,Pos,Excellent mobile.
330,Very good 😊,Pos,Very good.
330,OSM,Pos,Osm.
330,"The phone is good as expected. If you want to buy a decent phone with good specifications then go ahead.
Not performance centric but camera.",Pos,"Good phone as expected, decent specifications, camera focused."
330,Thankyou Flipkart,Pos,Thank you Flipkart.
330,Thankyou Flipkart,Pos,Thank you Flipkart.
330,"Very light phone.
Overall all experience is good 😊",Pos,Very light phone with a good overall experience.
330,"Mobile is very good in this price range..value for money
Camera is good..
Battery life is also good..
Little bit heating problem while charging..
Mobile phone is handy but without cover it's little bi...",Pos,"Good mobile in this price range, value for money, good camera and battery, slight heating issue."
330,Best camera and design in this price segment,Pos,Best camera and design in this price segment.
330,Awesome,Pos,Awesome.
330,Good,Pos,Good.
330,Excellent,Pos,Excellent.
330,Very Nice Phone ....,Pos,Very nice phone.
330,Excellent performance and superb camera,Pos,Excellent performance and superb camera.
330,Good mobile phone 📱📱📱,Pos,Good mobile phone.
330,Super,Pos,Super.
330,Nice product,Pos,Nice product.
330,super,Pos,Super.
330,Excellent phone moto edge 60 fusion..,Pos,Excellent phone moto edge 60 fusion.
330,"Best product 
Value for money 
Best camera 
Best design",Pos,"Best product, value for money, best camera, best design."
330,This product is so good.I thankful to Flipkart for this phone.IT IS VERY GOOD product.I am so happy for the product,Pos,"Very good product, thankful to Flipkart, very happy."
330,"The ph is awesome,screen curve is very nice",Pos,Awesome phone with a very nice screen curve.
330,Display super,Pos,Display super.
330,Nice phone,Pos,Nice phone.
150,Shame on Flipkart...On last day of the BBD sales the price is decreased by 1000 more.till tody the price is below the BBD price.what is the meaning of doing BBD SALES...,Neg,Shame on Flipkart for price decrease after BBD sales.
330,"Good Camera 4/5
Light weight 5/5
Display 5/5
Quard display so have risk of screen damage, no cover provided.
Overall 4/5
Best in range. If you want similar features and durability, go with Moto Edge60...",Pos,"Good camera, lightweight, good display, risk of screen damage, overall good in range."
330,"premium design, and the display feels incredibly smooth",Pos,Premium design and incredibly smooth display.
300,"Good phone, battery life was good in beginning but after a week battery life just dropped from 30hrs to 21hrs",Neg,"Good phone initially, but battery life decreased significantly after a week."
330,"Bad camera, portrait shot is ok but when you zoom in then the photos are in blur😑.",Neg,"Bad camera, blurry photos when zoomed in."
330,"The battery is very poor.only half day.
Camara average.",Neg,"Very poor battery, only half day, average camera."
210,"Battery drains very fast
Performance is average
Heats up during charging",Neg,"Battery drains fast, average performance, heats up during charging."
300,"Network connection is very poor, calling issue and it is the main problem on this phone and second night photo and video not as expected. Apart from that all good.",Neg,"Poor network connection, calling issues, bad night photos/videos, otherwise good."
300,Go for it 😀,Pos,Go for it.
240,"Excellent design and build quality 
Clean android experience 
Good camera 📸 
Turbo fast charging",Pos,"Excellent design and build quality, clean Android, good camera, fast charging."
90,"Camera quality is excellent, run smoothly",Pos,"Excellent camera quality, runs smoothly."
120,This is alrounder phone with decent camera.,Pos,This is an all-rounder phone with a decent camera.
150,Good pho,Pos,Good pho.
150,It gives a good feel when we holding it and the display quality is good.,Pos,Good feel when holding it and good display quality.
150,Received yesterday. Feels premium. Look and feel good. There is a very minor lagging issue but that doesn't matter if you're not a hard core gamer (this phone isn't for gaming). Battery lasts longer i...,Pos,"Feels premium, minor lagging issue, good for non-hardcore gamers, long battery life."
180,Nice,Pos,Nice.
180,Fabulous 😁🤩 😍,Pos,Fabulous.
180,"It's okey for normal user.
heat problem is more often...",Neg,"Okay for normal user, heat is more often."
180,"Overall phone is good, camera and battery is top notch..only issue is network connectivity..",Neg,"Overall good phone, top-notch camera and battery, issue with network connectivity."
180,The camera is really good.  With average use of the mobile the battery lasts comfortably for the whole day,Pos,"Good camera, battery lasts a day with average use."
210,Display is very good... internet connectivity is very fast... satisfied with this product,Pos,"Good display, fast internet, satisfied."
240,Very nice am happy 😊,Pos,Very nice and happy.
270,"Although all over phone is very good .
But if u r looking for security in ur phone then u shouldn't go for this phone as per my opinion, because moto does not have secure app lock,it does not hide app...",Neg,"Good phone overall, but lacks secure app lock."
270,"Good phone under 25000. Camera can be better. Overall satisfied. 
Experienced bad delivery from Flipkart this time. Delayed for 2 days",Neg,"Good phone under 25000, camera could be better, bad delivery."
270,Overall Good And Design Is Amazing,Pos,Overall good and amazing design.
30,"Network issue little bit low , otherwise all the program is so good 😊",Neg,"Network issue, otherwise good."
60,Good but need speed and new features,Neg,"Good, but needs speed and new features."
60,"Battery backup is not good 👍 
The rest is OK. 
And the front camera needs an update",Neg,"Battery backup not good, front camera needs update."
60,Camera is not good  plz don't bay,Neg,"Camera is not good, don't buy."
90,"Every is fine but the camera performance is below average. If camera is not the major requirement,then only consider it to buy.",Neg,Everything fine except below average camera performance.
90,"Hot spot issue,not working when other mobile attached to this",Neg,"Hotspot issue, not working with other mobiles."
90,Camera zoom not clear,Neg,Camera zoom not clear.
90,Not upto good average,Neg,Not up to good average.
120,"Phone lag is a major problem. Even if the camera, battery, and design are good, if the phone lags it's useless.
A phone with average camera or design is acceptable, but if the performance is poor, the...",Neg,"Phone lag is a major issue, even with good camera, battery, and design."
120,Only battery issue rest all perfect for this price.i am not a gamer,Pos,"Only battery issue, rest perfect for the price."
150,Very good,Pos,Very good.
150,No Gallery app,Neg,No gallery app.
150,Heat problem lag problem poor selfie camera battery drained,Neg,"Heat, lag, poor selfie camera, battery drained."
150,Nice 😊,Pos,Nice.
150,Network Fluctuations Issue with  Indoor and Outdoor And Screen Saver Is not showing on the screen after when Phone Locked Camera Quality Is Okay Not Is Better Other than Phone In Market with In this P...,Neg,"Network fluctuations, screen saver issue, camera quality okay."
150,"Camera not consistent 
Too much yellow tone",Neg,"Camera not consistent, too much yellow tone."
150,Sound not ok,Neg,Sound not ok.
150,Amazing camera quality,Pos,Amazing camera quality.
150,Impressive in this price range. Complete package.,Pos,"Impressive in this price range, complete package."
150,Camera is not as my expectations i already use Realme GT2 same camera Sony lence camera is absolutely well,Neg,Camera not as expected compared to Realme GT2.
150,ok phone but built quality weak,Neg,Ok phone but built quality weak.
180,So much heating problem..and battry issue just6-7hour,Neg,"So much heating and battery issue, lasts only 6-7 hours."
180,Touch response little bit slow,Neg,Touch response a little bit slow.
210,Heavy Battery Drain issue 🥲🥲,Neg,Heavy battery drain issue.
210,"I am not satisfied bcz Internet connectivity is very poor, especially in low network areas where it hardly works. Apart from that, the phone hangs sometimes, battery backup is weak, and charging is sl...",Neg,"Not satisfied, poor internet connectivity, hangs, weak battery, slow charging."
210,"#Display is very bad as compared to Amoled.if want good display always prefer amlod.
#performance is not very good some time taking time to open an APP or page.
#design great.
#camera good.
#battery good.",Neg,"Display bad compared to AMOLED, performance not good, design great, camera good, battery good."
210,I had been wanting to buy a motorola mobile for a long time. Motorola's mobile is quite good. The battery backup is a little less. I liked it in comparison to other mobiles. Overall good mobile on flipkart,Pos,"Good mobile overall, battery backup is a little less."
210,I used the last 3 months don't buy this mobile battery automatically dry if your not using mobile also and if you turn on wifi hotspots will turn off. Some time mobile will hang. While charging the mo...,Neg,"Battery drains quickly, wifi hotspot issues, and phone hangs."
240,Worst camera don't buy with this price range,Neg,Worst camera for the price range.
240,Not impress this phone,Neg,Not impressed with this phone.
240,"Phone is good, but heating issue not resolve.",Neg,Phone is good but has a heating issue.
240,Network not proper working,Neg,Network not working properly.
270,Average quality product.,Neg,Average quality product.
270,"Everything is good except camera is ok ok give a redness vibe in picture hope they fix it in updates sometimes mobile stuck also i don't know why but has some bug also ...... 
All is considerably good...",Neg,"Camera has redness, mobile sometimes stuck, but overall considerably good."
270,Camera quality issue More noise on pictures,Neg,Camera quality issue with more noise in pictures.
270,"Moto AI is not working properly,Pic eraser is very bad, not working properly,I am very disappointed with this phone 
Don't buy it",Neg,"Moto AI not working properly, pic eraser is bad, disappointed."
270,"This phone has problem in connecting to 5G. 
The same place where 5G network is available in the phone of some other company is the same place where 5G network is not available in the phone. 
And the ...",Neg,5G connectivity issues compared to other phones.
300,Charging problem,Neu,Charging.
300,"photos:10/10
Gameing:10/8
Display:10/10
Battery: 10/9",Pos,"High ratings for photos, gaming, display, and battery."
300,Nice product.,Pos,Nice product.
300,Some slowness in screen tou5,Neg,Some slowness in screen touch.
330,"Exchange policy is bad , mobile condition everything good but problem on calling time by earbud",Neg,"Bad exchange policy, good mobile condition but earbud issues during calls."
330,"The the leather at the back turns yellow
rest its good performance wise
front screen is durable",Neu,"Leather back turns yellow, good performance, durable front screen."
330,Front camera not good 👎🏻,Neg,Front camera not good.
330,Front camera is not good,Neg,Front camera is not good.
330,Very good camera and battery also good,Pos,Very good camera and battery.
330,Best choice for normal use phone better experience,Pos,"Best choice for normal use, better phone experience."
330,Good,Pos,Good.
90,"Below average according to the price of 22k
Expected better Ui and Camera performance.
Motherboard died only in 5 months",Neg,"Below average for the price, poor UI and camera, motherboard died in 5 months."
180,Camera is descent battery backup low almost 4-5 hrs performance average,Neg,"Camera is decent, low battery backup, average performance."
180,Lagging issues,Neg,Lagging issues.
330,This mobile not water resistant,Neg,This mobile is not water resistant.
60,"This model is ultimate. I am using this by 3 months, and everything got nice. Good camera at night as well. Sound quality is unmatched, really u feel Dolby Atmos without buds. Display is mind blowing,...",Pos,"Ultimate model, good camera at night, unmatched sound quality, mind-blowing display."
90,Good,Pos,Good.
90,Very good mobile but samsung is best...,Pos,"Very good mobile, but Samsung is best."
150,"Nice phone, best camra and battery performance.",Pos,"Nice phone, best camera and battery performance."
150,Design and congratulations and all performance is good but camera 4.5 rating and tuch is not very quickly compared to my old  mi mobile.,Neu,"Good design and performance, camera 4/5, touch not as quick as old phone."
150,Nice,Pos,Nice.
150,Excellent camera and the display in the category.l liked a lot.Good performance.Thank you Moto.,Pos,"Excellent camera and display, good performance."
150,The camera is osmm!,Pos,The camera is osmm.
180,"Premium look
Smooth experience 
Camera worth",Pos,"Premium look, smooth experience, camera is worth it."
180,Good smartphone performance,Pos,Good smartphone performance.
180,Best Mobile in this range ✨🔥,Pos,Best mobile in this range.
180,For my love,Pos,For my love.
180,Best in market best in photography. Love it,Pos,"Best in market, best in photography, love it."
180,Sup,Neu,sup.
180,Super,Pos,super.
180,"I like camera, display and performance 🥰👌👌",Pos,"I like camera, display and performance."
180,Thank u Flipkart good photos,Pos,"Thank you Flipkart, good photos."
180,Very good mobile phone with great display.,Pos,Very good mobile phone with great display.
180,Nice looking with soft touch,Pos,Nice looking with soft touch.
210,Best phone this price range ❤️❤️💗❤️❤️,Pos,Best phone this price range.
210,Specifications is Good. Grip Good. Available color Good.,Pos,"Specifications good, grip good, available color good."
210,"Exceptional camera, WOW display 🤩 go for it .. nice purchase",Pos,"Exceptional camera, wow display, go for it, nice purchase."
240,"I Love it nice product 
Camera nice 
Battery nice 
Lite wet but 
chrjar is west not working",Neg,"Love it, nice product, camera nice, battery nice, but charger is not working."
240,"All things considered, I believe that this phone is the best value phone on the market for its price. I would recommend it as it seems to be both user-friendly and affordable.",Pos,"Best value phone on the market, user friendly and affordable."
270,"Nice product from motorola, I buy it for my personal use and it's performance is great.",Pos,"Nice product from Motorola, performance is great."
270,"Softwer is very bad  they have basic apps using. Google apps basic like contact, in contact if you search S it will give all names that has S , general it should give with same start with S . Phone is...",Neg,"Software is very bad, basic apps using Google apps, search functionality is poor."
300,"Good phone
Battery good
Camera good
No lag for me as i m not heavy user
Overall good for me n enjoying it.",Pos,"Good phone, battery good, camera good, no lag for me, overall good."
300,good,Pos,good.
300,Very nice 👍,Pos,very nice.
300,Everything is best but day to day task device lags on basic daily task I don't play heavy games but device lags  only 2 days has done when I bought this device it need optimisation by software update,Neg,"Everything is best but device lags on basic daily tasks, needs optimization."
300,I like the curve display it's my first curve display mobile. Speaking about cons Motorola needs to create their own apps.,Neu,"I like the curve display, Motorola needs to create their own apps."
330,"Camera quality is awesome .. dolby sound , curved display fast charging. mobile is overall good on this price range ..",Pos,"Camera quality is awesome, Dolby sound, curved display, fast charging, overall good."
330,Best phone,Pos,best phone.
330,"Camera quality Best 
Display quality Best 
Battery best",Pos,"Camera quality best, display quality best, battery best."
180,"Much improvement needed in terms of UI, more customisation needed",Neg,"Much improvement needed in terms of UI, more customization needed."
330,There is little gap at the right side through which water may enter,Neg,There is little gap at the right side through which water may enter.
330,"Fantabulous for the Mobile Uses and Screen is a Awesome 

Camera Very Clarity for Still

Power backup 2 Days",Pos,"Fantabulous for mobile uses, awesome screen, very clear camera, 2 days power backup."
330,All gud specially flipkart agent shubham such a very nice person ane gud behiver. Thanks flipkart for gud man power in marketing,Pos,"All good, especially Flipkart agent Shubham, very nice person."
180,"If u want a mobile camera don't buy it, The camera is very poor, only the name 50mp but quality is 5mp batter is good",Neg,"If you want a mobile camera don't buy it, camera is very poor, battery is good."
240,"One of the best camera phone in this price range with good battery, good display and decent performance.",Pos,"One of the best camera phone in this price range with good battery, display and decent performance."
330,I'm really disappointed... I will explain my experience some couple of weeks,Neg,"I'm really disappointed, will explain my experience."
330,Camera is not good but Photo Quality good 😊👍,Neg,Camera is not good but photo quality good.
330,Stunning.,Pos,stunning.
330,Great value at this price,Pos,Great value for the price.
330,I love it. Thanks flipkart.,Pos,"I love it, thanks Flipkart."
1,Nice product and looking or features is best from other mobile,Pos,Nice product with best features.
1,"Good phone for the price. The display, design, and battery are very impressive and the overall experience is smooth. However, the front camera could have been better, and there are some minor lock scr...",Pos,"Good phone with impressive display, design, and battery, but front camera and minor lock screen issues."
1,Very nice,Pos,Very nice.
1,Good phone 🥰,Pos,Good phone.
1,"Compare to other models camera quality is low.
Battery life is good 
Value for money",Neg,"Camera quality is low compared to other models, but battery life is good and value for money."
1,Nice performance and good camera,Pos,Nice performance and good camera.
1,Thank you moto,Pos,Thank you Moto.
1,Very good👍,Pos,Very good.
1,Amazing,Pos,Amazing.
1,Very nice,Pos,Very nice.
1,Good,Pos,Good.
1,"Working well, fast and furious Phone",Pos,"Working well, fast and furious phone."
1,All good,Pos,All good.
1,Good,Pos,Good.
1,Nice phone,Pos,Nice phone.
1,Network problem issu,Neg,Network issue.
1,Nice,Pos,Nice.
1,Hanging,Neg,Hanging.
1,Heating problem,Neg,Heating.
1,Very Slow in multiple application run,Neg,Very slow in multiple application run.
1,Good,Pos,Good.
2,Nice product,Pos,Nice product.
2,Best,Pos,Best.
2,Nice product,Pos,Nice product.
2,Good,Pos,Good.
2,"Design,camera, performance all good 👍",Pos,"Design, camera, performance all good."
2,Good  product 👍,Pos,Good product.
2,Superb phone h bas battery performance/Health,Pos,"Superb phone, but battery performance health."
2,Nice ❤️,Pos,Nice.
2,Feels looks like iphone,Neu,Feels looks like iPhone.
2,Bad phone,Neg,Bad phone.
2,Gud camera and no smooth tuch lists of laginig,Neg,"Good camera but not smooth touch, lists of lagging."
3,Best in price and performance,Pos,Best in price and performance.
3,Need to improve camera Quality otherwise everything is ok and it's battery 🪫🔋 backup is awesome.,Pos,"Need to improve camera quality, otherwise everything is ok and battery backup is awesome."
3,Good product,Pos,Good product.
3,Superb,Pos,Superb.
3,Not satisfied,Neg,Not satisfied.
3,Very good,Pos,Very good.
3,Very good phone 🤳,Pos,Very good phone.
3,Good,Pos,Good.
4,Good to use,Pos,Good to use.
4,Best phone,Pos,Best phone.
4,Good,Pos,Good.
4,Good,Pos,Good.
4,Camera is bad,Neg,Camera is bad.
4,Good,Pos,Good.
4,Phone not in working condition,Neg,Phone not in working condition.
4,Best all rounder phone in this price range...,Pos,Best all rounder phone in this price range.
5,Nice 👍,Pos,Nice.
5,Good quality very good model,Pos,"Good quality, very good model."
5,Best phone for daily use,Pos,Best phone for daily use.
5,Nice Phone for College students,Pos,Nice phone for college students.
5,Don't buy this mobile because the worst camera,Neg,Don't buy this mobile because the worst camera.
5,Phone is excellent in performance and look,Pos,Phone is excellent in performance and look.
5,Sound quality very poor,Neg,Sound quality very poor.
5,Good,Pos,Good.
5,This phone is simply superb on this price right now.,Pos,This phone is simply superb on this price right now.
6,Good performance,Pos,Good performance.
6,overall all functions are good. But the sound quality of this phone is very worst and bad.. sound is not clear and audible as very much to comparing to other phones.. so when you purchase this phone p...,Neg,Overall functions are good but sound quality is very worst and not clear.
6,Excellent mobile phone with an affordable price.,Pos,Excellent mobile phone with an affordable price.
6,Good,Pos,Good.
6,Good,Pos,Good.
6,"This is not a waterproof mobile, don't buy it",Neg,"Not waterproof, don't buy."
6,"Excellent must purchase it. Sound is good, camera quality also good and battery backup is sufficient.",Pos,"Excellent, must purchase, good sound, camera, and battery."
7,Very good mobile,Pos,Very good mobile.
7,Excellent phone with nice camera,Pos,Excellent phone with nice camera.
7,Camera super nice,Pos,Camera super nice.
7,Good product go head,Pos,"Good product, go ahead."
7,Good product,Pos,Good product.
7,My mobile charger port technical issue,Neg,Mobile charger port technical issue.
7,Ok,Neu,Ok.
7,Everything is good 😊,Pos,Everything is good.
7,This is a good mobile phone.paisa woosul.,Pos,"Good mobile phone, value for money."
7,Good smartphone,Pos,Good smartphone.
7,Expensive 🫰🏻 product I love 😘 it,Pos,"Expensive product, I love it."
8,Very great phone with a very great quality of camaras,Pos,Very great phone with great camera quality.
8,very bad,Neg,Very bad.
8,Good,Pos,Good.
8,Very bad,Neg,Very bad.
8,Phone is good   nd camera 💥,Pos,Phone is good and camera.
8,Good purchase and value for money for 16k,Pos,Good purchase and value for money for 16k.
8,Good product,Pos,Good product.
8,"Very Good phone in this price range. 
Good Design
Good Camera
Battery Life is great.

The only down side is Network receptor seems a little down as sim signal issues has increased in this phone when c...",Pos,"Very good phone, good design, camera, battery, but network receptor is weak."
9,Mobile weightless and sleek and feel small in hand feeling.. Love it,Pos,"Mobile weightless, sleek, feels small and love it."
9,Good performance,Pos,Good performance.
9,Good,Pos,Good.
9,Good product,Pos,Good product.
9,God,Pos,God.
9,"Value for money. 
Best phone in this range.",Pos,Value for money best phone in this range.
9,Overall very good,Pos,Overall very good.
9,Awesome phone moto,Pos,Awesome phone moto.
9,Satisfied,Pos,Satisfied.
9,Awesome product Nice I like it.,Pos,Awesome product nice I like it.
9,After 8 months phone was dead due to mother board issue .,Neg,After 8 months phone was dead due to mother board issue.
9,Good,Pos,Good.
9,Awesome 👍 product,Pos,Awesome product.
10,I nice phone,Pos,I nice phone.
10,"Very nice mobile and easy used handling 
And good quality",Pos,"Very nice mobile, easy to use, good quality."
10,Awesome mobile and camera quality is also good,Pos,Awesome mobile and camera quality is also good.
10,Camera stucks every,Neg,Camera stucks every.
10,Good,Pos,Good.
10,Nice camra,Pos,Nice camra.
10,Good phone,Pos,Good phone.
10,Very good mobile ph,Pos,Very good mobile ph.
10,Very nice mobile,Pos,Very nice mobile.
10,Good mobile,Pos,Good mobile.
10,Excellent product,Pos,Excellent product.
10,"camera is just awesome at this price range...
display is very good, sound quality is also...
little heating issue while charging.... 
performance is awesome... 
at this price range just worth it...",Pos,"Awesome camera, display, sound, some heating, awesome performance, worth it."
10,Good batter,Pos,Good batter.
11,This product is very very good,Pos,This product is very very good.
11,Very nice product,Pos,Very nice product.
11,Overall good phone at this price range,Pos,Overall good phone at this price range.
11,Not better in 20k,Neg,Not better in 20k.
11,Perfect phone in all segments...,Pos,Perfect phone in all segments.
11,But not fixed even after 2-3 updates,Neu,But not fixed even after 2 3 updates.
11,Using after 2 months i have a problem with charging issue mobile is not charging. first time I have faced worst experience with Flipkart,Neg,"Charging issue after 2 months, worst experience."
11,"Camara quality just like a wow super 
Battery charge very fast 50 mint full charge 
Performance iss normal 
Display is super 
Speaker quality ak number",Pos,"Great camera, fast charging, normal performance, good display and speaker."
11,Ok,Neu,ok.
11,Value for money,Pos,value for money.
12,Good 😊 product value for money,Pos,good product value for money.
12,Normal,Neu,normal.
12,Really So Osm Product... Very Nice Mobile In Budget.,Pos,really so osm product very nice mobile in budget.
12,All ok,Neu,all ok.
12,Mobile hanging,Neg,mobile hanging.
12,Not good not bad,Neu,not good not bad.
12,Very nice flipkart,Pos,very nice flipkart.
12,Not working properly,Neg,not working properly.
12,Value for money,Pos,value for money.
12,Good phone overall. Design is very premium and lightweight. Display is smooth and bright. Camera quality is good for daily use. Battery backup is solid and charges fast. Performance is smooth for norm...,Pos,"Good phone, premium design, smooth display, good camera, solid battery, smooth performance."
12,Good,Pos,good.
12,Camera quality low and overall good,Neu,camera quality low and overall good.
12,Good,Pos,good.
12,Good mobile phone for best features and Good camera quality,Pos,good mobile phone for best features and good camera quality.
13,Flipkart service best service and delivery boy best Flipkart number one online shopping..,Pos,flipkart service best service and delivery boy best flipkart number one online shopping.
13,Nice,Pos,nice.
13,I Love it 🤩,Pos,i love it.
13,Ok,Neu,ok.
13,I'm satisfied with this price range 🙂,Pos,i m satisfied with this price range.
13,VERY BAD,Neg,very bad.
13,Network problem is mostly found most of the time,Neg,network is mostly found most of the time.
13,Worst phone,Neg,worst phone.
13,Value for money hai thanx flipkart,Pos,value for money hai thanx flipkart.
13,good,Pos,good.
13,Best value for money,Pos,best value for money.
13,All categories wise it's a good product. But I don't like camera originality. I expect good camera quality. Otherwise it's a budget all rounder,Neu,"Good overall, dislikes camera originality, budget all-rounder."
14,Every is ok go for it,Pos,every is ok go for it.
14,very nice product,Pos,very nice product.
14,Superb product i lo,Pos,superb product i lo.
14,"Nice product.
Value for money",Pos,nice product value for money.
14,One of the best product,Pos,one of the best product.
14,Design is very bad,Neg,design is very bad.
14,Good,Pos,good.
14,Selfie camer is good but performance is not good in this price section over all budget buy,Neu,"Good selfie camera, poor performance, budget buy."
15,Good pho,Pos,good pho.
15,Mobile is getting hanged sometimes and restarting when we send feedback no one will respond.,Neg,"Mobile hangs and restarts, no response to feedback."
15,Superb,Pos,superb.
15,Good product and communication technology,Pos,good product and communication technology.
15,Betry power is very disappoint me,Neg,betry power is very disappoint me.
15,Very bad very disappointed,Neg,very bad very disappointed.
15,Nice phone,Pos,nice phone.
15,"Camera best 
 Phone quality nice
Working smooth 
Good job moto",Pos,camera best phone quality nice working smooth good job moto.
15,Superb in this price range,Pos,superb in this price range.
15,Awesome design and features. Fabulous mobile.,Pos,awesome design and features fabulous mobile.
15,Excellent product,Pos,excellent product.
15,Not good,Neg,not good.
15,This mobile is just awesome 💯😍❤️❤️,Pos,this mobile is just awesome.
15,First Time I use Motorola Phone. It's very nice all the functions. Battery Performance is very Good . Mobile is light wait ..,Pos,"First Motorola phone, very nice with good functions, battery, and lightweight."
15,Awesome picture,Pos,Awesome picture.
15,Nice,Pos,Nice.
15,Mind blowing,Pos,Mind blowing.
15,Good phone,Pos,Good phone.
15,Best phone in this price and amezing cemara,Pos,Best phone in this price with amazing camera.
15,Best mobile phone,Pos,Best mobile phone.
15,"The front camera goes blurry Messenger.
I have read a thread on Motorola Community page too. This is device and software problem which is not resolved till date.",Neg,"Front camera blurry, unresolved issue."
15,It's heating too only use half hour phone get heated like going to blast so risky it's heating like pan on gas,Neg,Phone heats up quickly and feels risky.
16,Toooooooo much good 💯 phone,Pos,Too much good phone.
16,Very Good. ❤️,Pos,Very good.
16,Nice,Pos,Nice.
16,Awesome,Pos,Awesome.
16,Really very good phone.,Pos,Really very good phone.
16,Great as expected!,Pos,Great as expected.
16,Nice product,Pos,Nice product.
16,Must bye,Pos,Must bye.
16,Value for money,Pos,Value for money.
16,Good product Moto edge 60 fusion 5g,Pos,Good product Moto Edge 60 Fusion 5G.
16,Awesome phone,Pos,Awesome phone.
16,Good Mobile,Pos,Good mobile.
16,This is waist of money,Neg,This is waist of money.
17,Love this great camera,Pos,Love this great camera.
17,Worst phone ever I purchased please don't buy it,Neg,"Worst phone ever, don't buy it."
17,Display clarity on top 🔝,Pos,Display clarity on top.
17,"Except lagging while saving the image in AI styled filter, everything is smooth.",Neg,"Lagging while saving images in AI filter, otherwise smooth."
17,Superb,Pos,Superb.
17,Good,Pos,Good.
17,very bad camera,Neg,Very bad camera.
17,"Too much slowing, Bugggg phone 🤳🏻 
I'll never recommend from Motorola, plz go for other",Neg,"Slowing, buggy phone, doesn't recommend Motorola."
17,All good,Pos,All good.
18,"It does not support 4k 60fps video quality,the rest  is an amazing product with light weight, amazing looks and display with curves...",Neg,"No 4K 60fps, but amazing otherwise."
18,Good phone in this range,Pos,Good phone in this range.
18,It's an awesome mobile. Very good performance. No lag in every usage. Smooth operations,Pos,"Awesome mobile, very good performance, no lag."
18,Good for value,Pos,Good for value.
18,"This is not a friendly user phone. I am writing this after using it for 2 months.
1. No Gallery options. We need to download private gallery which is too much advertisement. Even Moto Gallery is lot o...",Neg,"Not user-friendly, no gallery options, too much advertisement."
18,"Phone mic working very badly on call.
Please don't buy this phone",Neg,"Phone mic working very badly on call, don't buy."
18,"Good camera, decent performance. Pretty good for the price",Pos,"Good camera, decent performance, good for the price."
18,All Good 😊👍,Pos,All good.
18,Mobile over heating within 10 while video call. Noice came from Loudspeaker within 20 days,Neg,"Mobile overheating, noise from loudspeaker."
18,Just Wow .. Excellent Phone from Motorola ..American brand is always American ..,Pos,"Just wow, excellent phone from Motorola."
18,It's good phone nice carved display it's awesome mobile working display also so good .and features also good excellent condition moto feature thank you flipkart.🥰💗🫂,Pos,"Good phone, nice display, awesome mobile."
19,Osm,Pos,Osm.
19,Love the design and internal features.got the desired features in this phone.,Pos,Love the design and internal features.
19,Next level phone.,Pos,Next level phone.
19,Good performance,Pos,Good performance.
19,Product very go,Pos,Product very go.
19,Phone is good as per specifications but there is heating issue.,Neg,Phone has heating issue.
19,Amezing 💓🥰🥳🥳,Pos,amezing.
20,Best in this range,Pos,best in this range.
20,Very nice,Pos,very nice.
20,Power botten not working pro,Neg,Power button not working.
20,Hello moto...... it' s good,Pos,hello moto it s good.
20,Good,Pos,good.
20,Good phone 👍🏻,Pos,good phone.
20,"Camera Clarity Not Good 
Disappointed about that",Neg,Camera clarity not good.
20,Full lag problem,Neg,full lag.
20,I'm happy with the product and expectations.,Pos,happy with the product and expectations.
20,Best in its price segment,Pos,best in its price segment.
21,Good,Pos,good.
21,Mind-blowing Device,Pos,mind blowing device.
21,after 4 months software not work and mobile is hanging not good,Neg,Software not working and mobile is hanging.
21,Super mobile TQ Flipkart,Pos,super mobile tq flipkart.
21,Automatic shutdown,Neg,automatic shutdown.
21,Without any hesitation go for it,Pos,without any hesitation go for it.
22,Perfect in this price range,Pos,perfect in this price range.
22,Very beautiful picture Moto phone 📱🤙 camera 📸 nice,Pos,very beautiful picture moto phone camera nice.
